InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
592234,21931,JUMBO STORAGE BAG SUKI,23,2023-08-01,15.23,C12111,United Kingdom
573553,23206,LUNCH BAG APPLE DESIGN,34,2022-04-08,7.34,C12102,United Kingdom
556800,22086,PAPER CHAIN KIT 50S CHRISTMAS,34,2022-06-15,7.29,C12346,United Kingdom
555479,22086,PAPER CHAIN KIT 50S CHRISTMAS,17,2022-05-18,19.02,C12029,United Kingdom
573477,21931,JUMBO STORAGE BAG SUKI,20,2023-06-30,9.45,C12329,United Kingdom
517144,71053,WHITE METAL LANTERN,48,2022-04-21,7.16,C12204,United Kingdom
541240,85099B,JUMBO BAG RED RETROSPOT,16,2022-12-26,13.0,C12094,Netherlands
511314,84406B,CREAM CUPID HEARTS COAT HANGER,27,2022-03-02,13.52,C12351,United Kingdom
579252,23206,LUNCH BAG APPLE DESIGN,18,2023-06-18,5.93,C12276,United Kingdom
551745,22752,SET 7 BABUSHKA NESTING BOXES,41,2022-02-15,7.44,C12000,United Kingdom
522574,21931,JUMBO STORAGE BAG SUKI,45,2022-09-06,6.77,C12077,Norway
504432,22086,PAPER CHAIN KIT 50S CHRISTMAS,43,2023-07-27,18.46,C12055,Spain
500302,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,49,2023-11-23,12.15,C12256,United Kingdom
516748,21212,PACK OF 72 RETROSPOT CAKE CASES,23,2023-01-21,10.86,C12473,United Kingdom
538638,21212,PACK OF 72 RETROSPOT CAKE CASES,7,2022-12-29,13.9,C12186,United Kingdom
573688,22960,JAM MAKING SET WITH JARS,35,2022-07-11,8.24,C12273,United Kingdom
506229,84029E,RED WOOLLY HOTTIE WHITE HEART,39,2022-08-19,6.78,C12027,Spain
507561,20725,LUNCH BAG RED RETROSPOT,13,2023-08-03,12.08,C12024,United Kingdom
579905,84406B,CREAM CUPID HEARTS COAT HANGER,47,2023-04-15,11.89,C12232,United Kingdom
560004,22086,PAPER CHAIN KIT 50S CHRISTMAS,49,2023-07-08,11.51,C12263,United Kingdom
517260,22752,SET 7 BABUSHKA NESTING BOXES,34,2022-11-11,5.26,C12179,United Kingdom
571158,22752,SET 7 BABUSHKA NESTING BOXES,22,2023-08-05,4.89,C12228,United Kingdom
513918,85099B,JUMBO BAG RED RETROSPOT,11,2022-12-16,2.21,C12003,Spain
509111,22632,HAND WARMER RED POLKA DOT,31,2023-07-02,8.5,C12246,United Kingdom
500117,22752,SET 7 BABUSHKA NESTING BOXES,28,2023-10-08,18.39,C12321,Spain
546514,21931,JUMBO STORAGE BAG SUKI,2,2023-01-27,11.36,C12093,United Kingdom
549376,22960,JAM MAKING SET WITH JARS,6,2023-12-25,19.38,C12299,United Kingdom
542533,23207,LUNCH BAG PINK POLKADOT,47,2023-10-16,14.29,C12112,United Kingdom
520128,84029E,RED WOOLLY HOTTIE WHITE HEART,36,2022-09-16,6.75,C12381,United Kingdom
539809,22752,SET 7 BABUSHKA NESTING BOXES,5,2022-06-21,1.74,C12177,United Kingdom
519216,22960,JAM MAKING SET WITH JARS,20,2023-09-05,5.47,C12167,United Kingdom
593789,22632,HAND WARMER RED POLKA DOT,24,2023-02-23,12.32,C12458,United Kingdom
570792,21931,JUMBO STORAGE BAG SUKI,44,2023-01-11,8.47,C12068,United Kingdom
543925,71053,WHITE METAL LANTERN,35,2022-11-16,18.57,C12075,Australia
519282,22633,HAND WARMER UNION JACK,30,2022-06-14,16.59,C12266,United Kingdom
584056,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2022-02-11,6.67,C12409,United Kingdom
573340,22197,SMALL POPCORN HOLDER,39,2023-11-22,14.42,C12295,France
534016,22752,SET 7 BABUSHKA NESTING BOXES,15,2022-05-25,11.76,C12352,United Kingdom
567506,22086,PAPER CHAIN KIT 50S CHRISTMAS,40,2022-02-08,4.97,C12449,Portugal
587487,22752,SET 7 BABUSHKA NESTING BOXES,7,2023-07-08,14.75,C12133,United Kingdom
500922,23207,LUNCH BAG PINK POLKADOT,33,2022-08-19,10.9,C12014,United Kingdom
582870,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,33,2023-02-15,14.29,C12156,United Kingdom
543872,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,2023-06-01,14.42,C12253,United Kingdom
564435,22752,SET 7 BABUSHKA NESTING BOXES,47,2022-08-04,17.01,C12396,United Kingdom
503756,22086,PAPER CHAIN KIT 50S CHRISTMAS,5,2022-11-20,9.98,C12156,United Kingdom
571315,71053,WHITE METAL LANTERN,36,2022-10-10,11.08,C12410,Netherlands
555318,47566,PARTY BUNTING,40,2023-12-13,11.88,C12253,Spain
573319,22086,PAPER CHAIN KIT 50S CHRISTMAS,43,2022-05-21,3.49,C12345,United Kingdom
585451,22197,SMALL POPCORN HOLDER,47,2023-11-14,14.66,C12472,Switzerland
552329,20725,LUNCH BAG RED RETROSPOT,5,2022-05-07,18.49,C12355,United Kingdom
544327,21931,JUMBO STORAGE BAG SUKI,9,2022-01-29,8.77,C12091,United Kingdom
536244,22632,HAND WARMER RED POLKA DOT,23,2023-09-05,2.89,C12213,United Kingdom
539282,21212,PACK OF 72 RETROSPOT CAKE CASES,23,2023-07-21,18.46,C12419,United Kingdom
557545,22633,HAND WARMER UNION JACK,47,2022-05-17,1.57,C12398,United Kingdom
549688,23207,LUNCH BAG PINK POLKADOT,41,2022-09-01,2.73,C12312,United Kingdom
536368,47566,PARTY BUNTING,7,2023-02-22,7.27,C12293,United Kingdom
545765,47566,PARTY BUNTING,24,2022-06-29,11.76,C12442,United Kingdom
516241,85123A,WHITE HANGING HEART T-LIGHT HOLDER,43,2022-06-05,12.83,C12176,United Kingdom
552853,21931,JUMBO STORAGE BAG SUKI,20,2022-05-28,9.45,C12454,Germany
502482,22633,HAND WARMER UNION JACK,1,2022-08-03,6.54,C12048,Germany
542460,23206,LUNCH BAG APPLE DESIGN,30,2023-03-05,4.22,C12317,United Kingdom
548302,85099B,JUMBO BAG RED RETROSPOT,18,2023-01-06,6.23,C12423,United Kingdom
525522,22197,SMALL POPCORN HOLDER,49,2023-11-09,8.31,C12193,France
578623,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29,2023-10-05,1.97,C12384,United Kingdom
581974,84879,ASSORTED COLOUR BIRD ORNAMENT,46,2022-03-28,10.77,C12457,EIRE
563230,22197,SMALL POPCORN HOLDER,8,2023-03-19,1.03,C12390,EIRE
564929,22633,HAND WARMER UNION JACK,33,2022-09-21,11.36,C12053,United Kingdom
512175,84406B,CREAM CUPID HEARTS COAT HANGER,14,2023-05-06,12.26,C12095,Portugal
504425,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,21,2022-01-07,8.42,C12499,United Kingdom
541874,21730,GLASS STAR FROSTED T-LIGHT HOLDER,21,2023-01-16,1.02,C12160,United Kingdom
587955,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18,2023-12-10,17.91,C12284,United Kingdom
514596,47566,PARTY BUNTING,3,2023-01-31,12.01,C12233,United Kingdom
517771,84029E,RED WOOLLY HOTTIE WHITE HEART,9,2023-05-15,9.0,C12421,Spain
528529,21931,JUMBO STORAGE BAG SUKI,46,2023-12-22,9.69,C12201,United Kingdom
599608,23206,LUNCH BAG APPLE DESIGN,9,2022-08-25,11.06,C12208,United Kingdom
576908,21730,GLASS STAR FROSTED T-LIGHT HOLDER,43,2023-10-28,8.72,C12200,United Kingdom
561268,71053,WHITE METAL LANTERN,11,2022-05-08,16.54,C12214,United Kingdom
597432,84879,ASSORTED COLOUR BIRD ORNAMENT,38,2023-11-08,1.81,C12355,United Kingdom
561396,22752,SET 7 BABUSHKA NESTING BOXES,23,2022-12-08,2.58,C12377,Belgium
593065,22752,SET 7 BABUSHKA NESTING BOXES,34,2023-03-31,12.21,C12218,United Kingdom
536397,22960,JAM MAKING SET WITH JARS,21,2023-09-26,7.97,C12400,United Kingdom
557492,71053,WHITE METAL LANTERN,36,2022-01-29,15.53,C12309,United Kingdom
528769,47566,PARTY BUNTING,36,2022-08-15,14.52,C12295,United Kingdom
574478,22086,PAPER CHAIN KIT 50S CHRISTMAS,5,2023-07-02,9.93,C12151,United Kingdom
545420,23207,LUNCH BAG PINK POLKADOT,43,2023-05-22,17.0,C12466,Australia
515048,47566,PARTY BUNTING,26,2022-03-14,9.75,C12481,EIRE
555337,22633,HAND WARMER UNION JACK,25,2023-09-08,14.25,C12016,United Kingdom
585469,21730,GLASS STAR FROSTED T-LIGHT HOLDER,37,2023-03-11,0.55,C12290,United Kingdom
549481,22752,SET 7 BABUSHKA NESTING BOXES,19,2022-01-17,6.63,C12353,United Kingdom
511344,21931,JUMBO STORAGE BAG SUKI,16,2023-10-23,17.52,C12302,United Kingdom
562552,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2023-04-11,19.62,C12373,Norway
527935,20725,LUNCH BAG RED RETROSPOT,26,2023-06-22,1.51,C12142,United Kingdom
594457,84879,ASSORTED COLOUR BIRD ORNAMENT,17,2022-03-27,4.02,C12015,Germany
573543,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2023-11-19,6.3,C12269,Australia
525510,22197,SMALL POPCORN HOLDER,29,2023-01-07,9.75,C12314,Switzerland
574910,84406B,CREAM CUPID HEARTS COAT HANGER,42,2023-06-10,13.07,C12401,United Kingdom
502983,84406B,CREAM CUPID HEARTS COAT HANGER,45,2022-06-20,2.0,C12107,United Kingdom
527345,20725,LUNCH BAG RED RETROSPOT,49,2023-02-01,11.0,C12038,United Kingdom
552393,85123A,WHITE HANGING HEART T-LIGHT HOLDER,44,2022-11-07,5.04,C12015,United Kingdom
569346,71053,WHITE METAL LANTERN,13,2023-08-31,7.99,C12413,United Kingdom
562187,21730,GLASS STAR FROSTED T-LIGHT HOLDER,49,2022-09-02,8.34,C12301,United Kingdom
512676,85099B,JUMBO BAG RED RETROSPOT,30,2022-12-25,8.65,C12439,United Kingdom
532413,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-01-11,9.61,C12477,United Kingdom
590093,22197,SMALL POPCORN HOLDER,37,2023-12-06,1.32,C12323,United Kingdom
543001,22086,PAPER CHAIN KIT 50S CHRISTMAS,49,2022-05-20,8.14,C12072,United Kingdom
529757,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2022-11-15,19.66,C12060,United Kingdom
556979,22960,JAM MAKING SET WITH JARS,7,2023-07-25,19.83,C12225,United Kingdom
582856,23206,LUNCH BAG APPLE DESIGN,43,2022-08-06,3.94,C12492,Spain
566262,21931,JUMBO STORAGE BAG SUKI,5,2022-02-16,1.63,C12258,United Kingdom
542874,21931,JUMBO STORAGE BAG SUKI,20,2023-07-27,19.9,C12008,Australia
524578,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2022-08-04,14.07,C12418,United Kingdom
534701,84406B,CREAM CUPID HEARTS COAT HANGER,47,2023-08-03,1.18,C12485,United Kingdom
597820,84029E,RED WOOLLY HOTTIE WHITE HEART,41,2023-09-27,8.13,C12097,United Kingdom
546542,22632,HAND WARMER RED POLKA DOT,34,2023-06-05,17.31,C12194,United Kingdom
533742,22633,HAND WARMER UNION JACK,11,2022-05-04,2.2,C12024,United Kingdom
509903,22752,SET 7 BABUSHKA NESTING BOXES,48,2023-03-30,10.17,C12327,United Kingdom
509516,22960,JAM MAKING SET WITH JARS,13,2022-02-09,17.1,C12283,United Kingdom
586231,23206,LUNCH BAG APPLE DESIGN,40,2022-10-16,13.72,C12185,United Kingdom
583624,23206,LUNCH BAG APPLE DESIGN,28,2023-07-25,17.09,C12335,United Kingdom
586206,22960,JAM MAKING SET WITH JARS,25,2022-12-22,18.64,C12362,United Kingdom
547638,22752,SET 7 BABUSHKA NESTING BOXES,5,2022-01-31,17.68,C12187,United Kingdom
592241,84879,ASSORTED COLOUR BIRD ORNAMENT,43,2023-07-05,4.96,C12393,United Kingdom
575713,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2022-10-22,10.4,C12257,Portugal
531966,22960,JAM MAKING SET WITH JARS,49,2022-12-26,11.42,C12045,United Kingdom
576242,71053,WHITE METAL LANTERN,24,2022-11-22,16.46,C12187,United Kingdom
591357,21730,GLASS STAR FROSTED T-LIGHT HOLDER,34,2023-07-26,7.17,C12073,Belgium
507491,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2023-04-29,3.89,C12476,United Kingdom
520953,21931,JUMBO STORAGE BAG SUKI,17,2023-12-06,11.85,C12011,United Kingdom
590874,22197,SMALL POPCORN HOLDER,47,2023-11-07,19.39,C12305,United Kingdom
507813,84406B,CREAM CUPID HEARTS COAT HANGER,7,2022-02-02,1.78,C12435,Belgium
511745,22086,PAPER CHAIN KIT 50S CHRISTMAS,11,2023-06-22,13.82,C12078,United Kingdom
597768,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2023-02-01,8.81,C12225,United Kingdom
578797,21730,GLASS STAR FROSTED T-LIGHT HOLDER,29,2022-05-10,6.32,C12270,United Kingdom
593623,23207,LUNCH BAG PINK POLKADOT,27,2023-01-17,17.43,C12021,Netherlands
505626,22086,PAPER CHAIN KIT 50S CHRISTMAS,20,2023-03-29,8.25,C12463,United Kingdom
526431,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2022-06-12,15.04,C12057,United Kingdom
518639,21931,JUMBO STORAGE BAG SUKI,12,2023-05-07,11.47,C12280,United Kingdom
508711,22633,HAND WARMER UNION JACK,25,2022-11-05,17.44,C12059,United Kingdom
505655,22086,PAPER CHAIN KIT 50S CHRISTMAS,7,2023-11-24,12.71,C12026,United Kingdom
511536,84406B,CREAM CUPID HEARTS COAT HANGER,15,2022-07-25,9.89,C12403,United Kingdom
505109,20725,LUNCH BAG RED RETROSPOT,9,2023-12-27,4.41,C12339,Norway
526589,71053,WHITE METAL LANTERN,11,2023-12-22,19.69,C12343,France
541688,22197,SMALL POPCORN HOLDER,38,2022-10-28,6.19,C12365,Netherlands
546167,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2023-11-22,14.62,C12101,United Kingdom
595317,22632,HAND WARMER RED POLKA DOT,46,2023-08-15,3.28,C12400,Belgium
506368,23207,LUNCH BAG PINK POLKADOT,40,2022-01-02,0.69,C12160,Spain
556985,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2022-04-26,1.15,C12232,Switzerland
581905,21730,GLASS STAR FROSTED T-LIGHT HOLDER,39,2022-05-02,4.42,C12193,United Kingdom
549786,22086,PAPER CHAIN KIT 50S CHRISTMAS,49,2022-11-13,19.06,C12481,United Kingdom
533320,22752,SET 7 BABUSHKA NESTING BOXES,9,2023-02-20,1.51,C12008,United Kingdom
525683,22197,SMALL POPCORN HOLDER,8,2022-11-14,14.42,C12203,United Kingdom
527961,22086,PAPER CHAIN KIT 50S CHRISTMAS,11,2023-01-25,17.95,C12250,United Kingdom
510326,84406B,CREAM CUPID HEARTS COAT HANGER,42,2022-01-12,9.05,C12126,United Kingdom
520022,20725,LUNCH BAG RED RETROSPOT,45,2022-05-27,12.51,C12396,United Kingdom
570326,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2022-11-05,17.5,C12355,United Kingdom
537412,23206,LUNCH BAG APPLE DESIGN,6,2023-10-24,14.52,C12299,France
545500,22632,HAND WARMER RED POLKA DOT,28,2022-02-04,4.39,C12058,United Kingdom
559321,22086,PAPER CHAIN KIT 50S CHRISTMAS,12,2023-12-26,3.9,C12352,United Kingdom
599259,23207,LUNCH BAG PINK POLKADOT,28,2023-06-16,7.74,C12292,United Kingdom
531860,22197,SMALL POPCORN HOLDER,32,2022-09-07,11.97,C12176,United Kingdom
512201,71053,WHITE METAL LANTERN,15,2022-10-22,18.06,C12227,United Kingdom
584878,23206,LUNCH BAG APPLE DESIGN,12,2023-06-14,7.99,C12370,United Kingdom
511561,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2023-04-23,8.4,C12354,United Kingdom
535133,20725,LUNCH BAG RED RETROSPOT,2,2023-07-07,4.03,C12013,Portugal
561272,22086,PAPER CHAIN KIT 50S CHRISTMAS,20,2022-05-25,12.06,C12013,Australia
512588,71053,WHITE METAL LANTERN,1,2023-11-07,15.58,C12162,United Kingdom
576367,22086,PAPER CHAIN KIT 50S CHRISTMAS,10,2022-09-27,1.93,C12286,United Kingdom
506276,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2022-09-14,16.66,C12092,United Kingdom
571635,23207,LUNCH BAG PINK POLKADOT,12,2023-07-30,14.28,C12263,United Kingdom
509847,47566,PARTY BUNTING,37,2022-11-01,10.9,C12420,United Kingdom
583194,20725,LUNCH BAG RED RETROSPOT,47,2023-09-12,17.43,C12311,United Kingdom
591155,23207,LUNCH BAG PINK POLKADOT,2,2022-10-20,2.9,C12369,Portugal
